tweets,classe_ajuste_fino,score_ajuste_fino,tweets_limpos,texto_limpo
56949,@marcofeliciano Rasgaram a nossa constituição 😓🇧🇷,False,0.9883307218551636,"['@marcofeliciano', 'rasgaram', 'constituição']",@marcofeliciano rasgaram constituição
56950,@marcofeliciano Se quiser falar alguma coisa contra o governo lula fale agora. Ano que vem só ouviremos coisas boas do governo; assim como o povo da coréia do norte ouve sobre o governo deles.,False,0.9964931607246399,"['@marcofeliciano', 'querer', 'falar', 'algum', 'governo', 'lula', 'falar', 'ano', 'ouviremos', 'coisa', 'bom', 'governo', 'coréia', 'norte', 'ouver', 'governo', 'de eles']",@marcofeliciano querer falar algum governo lula falar ano ouviremos coisa bom governo coréia norte ouver governo de eles
56951,"@marcofeliciano Para a Jovem Pan, esse dois já fizeram o trabalho sujo: espalhar fake news e mentiras como se fossem notícias. Já ouviu falar sobre rios, bois e piranhas? Não necessariamente nessa ordem?",True,0.5569002628326416,"['@marcofeliciano', 'jovem', 'pan', 'fazer', 'trabalho', 'sujo', 'espalhar', 'fake', 'news', 'mentira', 'ser', 'notícia', 'ouvir', 'falar', 'rio', 'bois', 'piranha', 'não', 'necessariamente', 'ordem']",@marcofeliciano jovem pan fazer trabalho sujo espalhar fake news mentira ser notícia ouvir falar rio bois piranha não necessariamente ordem
56952,@marcofeliciano Pix da Secom não vai cair mais.,False,0.9290863275527954,"['@marcofeliciano', 'pix', 'secom', 'não', 'cair']",@marcofeliciano pix secom não cair
56953,"@marcofeliciano Lula avisou ontem no discurso na Paulista: ""eu falei com a esquerda, falei com o centro e falei com a esquerda de novo.. a direita não existe!"" É isso que está acontecendo. A direita vai ser calada e jogada no fundo do poço. Tutinha é empresário e precisa pagar contas.",False,0.9778270125389099,"['@marcofeliciano', 'lula', 'avisar', 'discurso', 'paulista', 'falar', 'esquerda', 'falar', 'centro', 'falar', 'esquerda', 'não', 'existir', 'acontecer', 'calar', 'jogar', 'fundo', 'poço', 'tutinha', 'empresário', 'precisar', 'pagar', 'conta']",@marcofeliciano lula avisar discurso paulista falar esquerda falar centro falar esquerda não existir acontecer calar jogar fundo poço tutinha empresário precisar pagar conta
56954,"@marcofeliciano Empresa privada, demite quem quer! Negocie com o patrão,  vocês disseram!  Kkkkk",False,0.9493646621704102,"['@marcofeliciano', 'empresa', 'privado', 'demitir', 'negocie', 'patrão', '', 'dizer', '', 'kkkkk']",@marcofeliciano empresa privado demitir negocie patrão  dizer  kkkkk
56955,@marcofeliciano Medinho da Turminha do Nine dos infernos.,True,0.9817995429039001,"['@marcofeliciano', 'medinho', 'turminha', 'nine', 'inferno']",@marcofeliciano medinho turminha nine inferno
56956,@marcofeliciano Acórdão do Radiolão. https://t.co/Wm4B6xEGjc,False,0.9770498275756836,"['@marcofeliciano', 'acórdão', 'radiolão']",@marcofeliciano acórdão radiolão
56957,"@marcofeliciano Na verdade, estranho mesmo era se eles ficassem. 

Todos nós sabíamos que seria assim, esse é apenas o início. 🤡",False,0.9862433075904846,"['@marcofeliciano', 'verdade', 'estranho', 'ficar', '', 'saber', 'início']",@marcofeliciano verdade estranho ficar  saber início
56958,"@marcofeliciano Foi o estado que mandou rapaz armado demitir eles.  Cara, até quando vc vai ficar nesse discurso?",False,0.9920905828475952,"['@marcofeliciano', 'mandar', 'rapaz', 'armar', 'demitir', '', 'cara', 'vc', 'ficar', 'discurso']",@marcofeliciano mandar rapaz armar demitir  cara vc ficar discurso
56959,@marcofeliciano Tutinha sabe que a partir de Janeiro o dinheiro voltará a escorrer e está se preparando para levar o seu,False,0.9877457022666931,"['@marcofeliciano', 'tutinha', 'janeiro', 'dinheiro', 'voltar', 'escorrer', 'preparar', 'levar']",@marcofeliciano tutinha janeiro dinheiro voltar escorrer preparar levar
56960,"@marcofeliciano Liga pra ele e pergunta, aqui ninguém fica cuidando da vida dos outros. Deus deu uma vida só para cada um cuidar dela. Ponto😒🤔😒🤔😒🤔",False,0.988232433795929,"['@marcofeliciano', 'liga', 'pra', 'perguntar', 'ninguém', 'ficar', 'cuidar', 'vida', 'deus', 'dar', 'vida', 'cuidar', 'de ela']",@marcofeliciano liga pra perguntar ninguém ficar cuidar vida deus dar vida cuidar de ela
56961,@marcofeliciano Está circulando uma informação de que Fiuza também fora demitido. Não sei se procede.,False,0.946631669998169,"['@marcofeliciano', 'circular', 'informação', 'fiuza', 'demitir', 'não', 'procedir']",@marcofeliciano circular informação fiuza demitir não procedir
56962,@marcofeliciano Corte das verbas que sustenta a Jovem Pan? Acabou a mamata?,False,0.9501327276229858,"['@marcofeliciano', 'corte', 'verba', 'sustentar', 'jovem', 'pan', 'acabar', 'mamata']",@marcofeliciano corte verba sustentar jovem pan acabar mamata
56963,@marcofeliciano Que vergonha para jovem pan não é Marco Feliciano o jornal que tinha credibilidade de boa parte do país audiência como nenhum outro se render a um ex-presidiário que quer censurar e levar o país o povo a miséria que vergonha a jovem pan perdeu a minha audiência,False,0.8810144066810608,"['@marcofeliciano', 'vergonha', 'jovem', 'pan', 'não', 'marco', 'feliciano', 'jornal', 'ter', 'credibilidade', 'país', 'audiênciar', 'nenhum', 'outro', 'render', 'expresidiário', 'censurar', 'levar', 'país', 'miséria', 'vergonhar', 'jovem', 'pan', 'perder', 'audiência']",@marcofeliciano vergonha jovem pan não marco feliciano jornal ter credibilidade país audiênciar nenhum outro render expresidiário censurar levar país miséria vergonhar jovem pan perder audiência
56964,"@marcofeliciano Uai. 
A Jovem Klan vai quebrar kkkk",False,0.8948041200637817,"['@marcofeliciano', 'uai', '', 'jovem', 'klan', 'quebrar', 'kkkk']",@marcofeliciano uai  jovem klan quebrar kkkk
56965,@marcofeliciano Vamos erguer a cabeça e seguir em frente... não é isso ?,False,0.9975090026855469,"['@marcofeliciano', 'ir', 'erguer', 'cabeça', 'seguir', 'frente', 'não']",@marcofeliciano ir erguer cabeça seguir frente não
56966,"@marcofeliciano Ditadura, se algo não for urgentemente, em abril seremos Argentina e dezembro Venezuela",False,0.9357401132583618,"['@marcofeliciano', 'ditadura', 'não', 'urgentemente', 'abril', 'ser', 'argentina', 'dezembro', 'venezuela']",@marcofeliciano ditadura não urgentemente abril ser argentina dezembro venezuela
56967,"@marcofeliciano Kkkkkkkkkk, o Lula foi eleito ontem e já bloqueou contas do Instagram em todo mundo e já demitiu 2 da jovem pan.",False,0.9879898428916931,"['@marcofeliciano', 'kkkkkkkkkk', 'lula', 'eleger', 'bloquear', 'conta', 'instagram', 'mundo', 'demitir', 'jovem', 'pan']",@marcofeliciano kkkkkkkkkk lula eleger bloquear conta instagram mundo demitir jovem pan
56968,"@marcofeliciano Pergunta lá na emissora ,Marcão. Parece bobo",True,0.6138446927070618,"['@marcofeliciano', 'pergunta', 'emissora', 'marcão', 'bobo']",@marcofeliciano pergunta emissora marcão bobo
56969,@marcofeliciano Cortaram os recursos da $ECOM que bancava eles!!!,False,0.9822143912315369,"['@marcofeliciano', 'cortar', 'recurso', '$', 'ecom', 'bancar']",@marcofeliciano cortar recurso $ ecom bancar
56970,@marcofeliciano @MarioMarcio25 Vai pra rua com o povo chama o povo da igreja…,False,0.9890121221542358,"['@marcofeliciano', '@mariomarcio25', 'pra', 'rua', 'chamar', 'igreja']",@marcofeliciano @mariomarcio25 pra rua chamar igreja
56971,@marcofeliciano Vai acabar a verba em 60 dias.,False,0.9825530052185059,"['@marcofeliciano', 'acabar', 'verba', 'dia']",@marcofeliciano acabar verba dia
56972,@marcofeliciano Guga tbm. 🥳👍 https://t.co/g0IfjpdgtC,False,0.9938166737556458,"['@marcofeliciano', 'guga', 'tbm', '']",@marcofeliciano guga tbm 
56973,"@marcofeliciano JP virando amiguinho de quem manda! Igual vcs pastores, jaja estarão babando em cima do Lula! Alguma duvida?????",False,0.9520770311355591,"['@marcofeliciano', 'jp', 'virar', 'amiguinho', 'mandar', 'igual', 'vcs', 'pastor', 'jaja', 'estar', 'babar', 'lula', 'alguma', 'duvida']",@marcofeliciano jp virar amiguinho mandar igual vcs pastor jaja estar babar lula alguma duvida
56974,"@marcofeliciano vc está perdendo a sanidade, isso que esta acontecendo...",False,0.8284125924110413,"['@marcofeliciano', 'vc', 'perder', 'sanidade', 'acontecer']",@marcofeliciano vc perder sanidade acontecer
56975,@marcofeliciano Marcos Feliciano nos ajude por amor que vc tem em Deus. Estamos sem rumo. Não consigo parar de chorar.,False,0.9979836940765381,"['@marcofeliciano', 'marcos', 'feliciano', 'ajudar', 'amor', 'vc', 'deus', 'estar', 'rumo', 'não', 'consigar', 'parar', 'chorar']",@marcofeliciano marcos feliciano ajudar amor vc deus estar rumo não consigar parar chorar
56976,"@marcofeliciano Não tá sabendo?
Adeus democracia, meu filho.",False,0.9977765679359436,"['@marcofeliciano', 'não', 'tar', 'saber', '', 'democracia', 'filho']",@marcofeliciano não tar saber  democracia filho
56977,"@marcofeliciano SIMPLES! A JOVEM PAN VAI CONTRATAR QUEM TEM UM DISCURSO AFINADO COM A ESQUERDA. ELA VAI DE ACORDO COM A ONDA. ELA VAI DEIXAR ALGUÉM DA DIREITA PRA SE CONTRAPOR, PRA NÃO PARECER TÃO ESCANDALOSO.",False,0.9393092393875122,"['@marcofeliciano', 'simples', 'jovem', 'pan', 'contratar', 'discurso', 'afinado', 'esquerda', 'acordo', 'onda', 'deixar', 'alguém', 'pra', 'contrapor', 'pra', 'não', 'parecer', 'escandaloso']",@marcofeliciano simples jovem pan contratar discurso afinado esquerda acordo onda deixar alguém pra contrapor pra não parecer escandaloso
56978,@marcofeliciano https://t.co/FMwAmlr97B,False,0.9914364218711853,['@marcofeliciano'],@marcofeliciano
56979,@marcofeliciano Nada demais kkkkkk https://t.co/4UqzR549CX,False,0.9971199035644531,"['@marcofeliciano', 'kkkkkk']",@marcofeliciano kkkkkk
56980,@marcofeliciano A verba do Planalto para pagar os puxa saco vai acabar.,True,0.6676058173179626,"['@marcofeliciano', 'verba', 'planalto', 'pagar', 'puxar', 'saco', 'acabar']",@marcofeliciano verba planalto pagar puxar saco acabar
56981,"@marcofeliciano Empresa!! O Tutinha está preocupado com o bolso dele… não com o país…
E agora, sem o dinheiro da $ecom como vai pagar as contas?!?

Aqui se faz, aqui se paga… FARISEU!!!",False,0.9787846207618713,"['@marcofeliciano', 'empresa', 'tutinha', 'preocupado', 'bolso', 'de ele', 'não', 'país', '', 'dinheiro', '$', 'ecom', 'pagar', 'conta', '', 'pagar', 'fariseu']",@marcofeliciano empresa tutinha preocupado bolso de ele não país  dinheiro $ ecom pagar conta  pagar fariseu
56982,@marcofeliciano O desemprego já ta crescendo. Os cachorros sumindo. Próximo passo será fechar a sua Igreja!,False,0.9807453155517578,"['@marcofeliciano', 'desemprego', 'tar', 'crescer', 'cachorro', 'sumir', 'passo', 'ser', 'fechar', 'igreja']",@marcofeliciano desemprego tar crescer cachorro sumir passo ser fechar igreja
56983,@marcofeliciano https://t.co/ZhbZCpn7G2,False,0.9858712553977966,['@marcofeliciano'],@marcofeliciano
56984,"@marcofeliciano Demitiram o Guga Noblat para disfarçar. Não querem que pareça o que realmente foi. Um tipo de censura. Veremos quem serão os próximos. Se continuarem assim o negócio é boicotar a Jovem Pan, assim como fizemos com a Globo.",False,0.987772524356842,"['@marcofeliciano', 'demitiram', 'guga', 'noblat', 'disfarçar', 'não', 'parecer', 'realmente', 'censura', 'veremos', 'ser', 'próximo', 'continuar', 'negócio', 'boicotar', 'jovem', 'pan', 'fizemos', 'globo']",@marcofeliciano demitiram guga noblat disfarçar não parecer realmente censura veremos ser próximo continuar negócio boicotar jovem pan fizemos globo
56985,"@marcofeliciano A verdade está vencendo só isso. Jesus fala sobre isso, lembra ?",False,0.9958797693252563,"['@marcofeliciano', 'verdade', 'vencer', 'jesus', 'falar', 'lembrar']",@marcofeliciano verdade vencer jesus falar lembrar
56986,@marcofeliciano ISSO DAI JA O COMEÇO DESMONTAR TODA A FARÇA E AS MENTIRAS DO MITO... https://t.co/rPC45H1jle,False,0.8529500961303711,"['@marcofeliciano', 'dai', 'ja', 'começo', 'desmontar', 'farça', 'mentiras', 'mito']",@marcofeliciano dai ja começo desmontar farça mentiras mito
56987,@marcofeliciano Parece que eles colocaram essa música pra tocar 👇😂😂😂 https://t.co/PZ1upymcqp,False,0.9936612844467163,"['@marcofeliciano', 'colocar', 'música', 'pra', 'tocar', '']",@marcofeliciano colocar música pra tocar 
56988,@marcofeliciano Tudo é questão de ética. A JP vai ter que voltar a ser uma emissora de respeito. Reconquistar a credibilidade. Acredito que tenha mais gente com o mesmo perfil desses dois para passar o rodo.,False,0.975777268409729,"['@marcofeliciano', 'ética', 'jp', 'voltar', 'emissora', 'respeito', 'reconquistar', 'credibilidade', 'acreditar', 'ter', 'gente', 'perfil', 'de esse', 'passar', 'rodo']",@marcofeliciano ética jp voltar emissora respeito reconquistar credibilidade acreditar ter gente perfil de esse passar rodo
56989,"@marcofeliciano Simples. como vocês da extrema-direita dizem 
A TETA SECOU.",False,0.5945619940757751,"['@marcofeliciano', 'simples', 'extremadireita', '', 'teta', 'secou']",@marcofeliciano simples extremadireita  teta secou
56990,"@marcofeliciano Acabou o dinheiro dos nolsonarista que apoiavam o fascismo.  E pro seu governo, dinheiro para pastores TAMBEM vai acabar.",False,0.9488375186920166,"['@marcofeliciano', 'acabar', 'dinheiro', 'nolsonarista', 'apoiar', 'fascismo', '', 'pro', 'governo', 'dinheiro', 'pastor', 'tambem', 'acabar']",@marcofeliciano acabar dinheiro nolsonarista apoiar fascismo  pro governo dinheiro pastor tambem acabar
56991,"@marcofeliciano Está fechando, agora sem os recursos de Bolsonaro … https://t.co/CT8P24NjK5",False,0.9876134395599365,"['@marcofeliciano', 'fechar', 'recurso', 'bolsonaro']",@marcofeliciano fechar recurso bolsonaro
56992,@marcofeliciano bolsonarismo derretendo com a graça de Deus 🙏,False,0.9949434399604797,"['@marcofeliciano', 'bolsonarismo', 'derreter', 'graça', 'deus']",@marcofeliciano bolsonarismo derreter graça deus
56993,@marcofeliciano Sinal amarelo?  Sinal vermelho começou lá atrás quando fecharam jornais conservadores. Onde estava o congresso?,False,0.9745121002197266,"['@marcofeliciano', 'sinal', 'amarelo', '', 'sinal', 'vermelho', 'começar', 'fechar', 'jornal', 'conservador', 'congresso']",@marcofeliciano sinal amarelo  sinal vermelho começar fechar jornal conservador congresso
56994,@marcofeliciano A JP tentando recuperar a credibilidade.,False,0.9891820549964905,"['@marcofeliciano', 'jp', 'tentar', 'recuperar', 'credibilidade']",@marcofeliciano jp tentar recuperar credibilidade
56995,@marcofeliciano Oi amor! Chorando por aqui! https://t.co/8bvUwd0NEi,False,0.9985656142234802,"['@marcofeliciano', 'oi', 'amor', 'chorar']",@marcofeliciano oi amor chorar
56996,@marcofeliciano A emissora se adaptando rapidamente.,False,0.9863526821136475,"['@marcofeliciano', 'emissora', 'adaptar', 'rapidamente']",@marcofeliciano emissora adaptar rapidamente
56997,@marcofeliciano A mamata acabando...,True,0.5962842702865601,"['@marcofeliciano', 'mamata', 'acabar']",@marcofeliciano mamata acabar
56998,"@marcofeliciano E a RENÚNCIA ao mandato? Lula ganhou, vc não disse que renunciaria,ou vai se acovardar?",False,0.9599114656448364,"['@marcofeliciano', 'renúncia', 'mandato', 'lula', 'ganhar', 'vc', 'não', 'dizer', 'renunciar', 'acovardar']",@marcofeliciano renúncia mandato lula ganhar vc não dizer renunciar acovardar
56999,@marcofeliciano https://t.co/sKETCyofYX,False,0.979658842086792,['@marcofeliciano'],@marcofeliciano
57000,"@marcofeliciano O senhor prometeu renunciar caso lula ganhasse a eleição, vai cumprir a palavra ?",False,0.9927307963371277,"['@marcofeliciano', 'senhor', 'prometer', 'renunciar', 'caso', 'lula', 'ganhar', 'eleição', 'cumprir', 'palavra']",@marcofeliciano senhor prometer renunciar caso lula ganhar eleição cumprir palavra
57001,"@marcofeliciano Vc já renunciou ou é só conversa fiada, como de costume?",False,0.9229986667633057,"['@marcofeliciano', 'vc', 'renunciar', 'conversa', 'fiar', 'costume']",@marcofeliciano vc renunciar conversa fiar costume
57002,"@marcofeliciano Agora que acendeu o sinal amarelo, deputado?
Onde o senhor esteve nos últimos 4 anos???",False,0.9975599050521851,"['@marcofeliciano', 'acender', 'sinal', 'amarelo', 'deputado', '', 'senhor', 'último', 'ano']",@marcofeliciano acender sinal amarelo deputado  senhor último ano
57003,@marcofeliciano Não vai renunciar ? https://t.co/WQpSM9Nzgm,False,0.9906646013259888,"['@marcofeliciano', 'não', 'renunciar']",@marcofeliciano não renunciar
57004,"@marcofeliciano A democracia está se restabelecendo.
Talvez seja demais para vc.
Criaturas como vc não lidam bem com essa good vibes.",False,0.8810674548149109,"['@marcofeliciano', 'democracia', 'restabelecer', '', 'ser', 'vc', '', 'criatura', 'vc', 'não', 'lidar', 'good', 'vibes']",@marcofeliciano democracia restabelecer  ser vc  criatura vc não lidar good vibes
57005,"@marcofeliciano Boca rica vc vai honrar sua ""palavra"" e renunciar? 
Estamos aguardando ansiosos",False,0.997267484664917,"['@marcofeliciano', 'boca', 'rico', 'vc', 'honrar', 'palavra', 'renunciar', '', 'estar', 'aguardar', 'ansioso']",@marcofeliciano boca rico vc honrar palavra renunciar  estar aguardar ansioso
57006,"@marcofeliciano Aguardando sua honradez em cumprir sua palavra, como homem de Deus: renuncia e muda de país!

O pai da mentira é o capiroto e o senhor não vsi passar pelo papelão de mentiroso!!!!",True,0.941439688205719,"['@marcofeliciano', 'aguardando', 'honradez', 'cumprir', 'palavra', 'homem', 'deus', 'renuncia', 'mudar', 'país', '', 'pai', 'mentira', 'capiroto', 'senhor', 'não', 'vsi', 'passar', 'papelão', 'mentiroso']",@marcofeliciano aguardando honradez cumprir palavra homem deus renuncia mudar país  pai mentira capiroto senhor não vsi passar papelão mentiroso
57007,"@marcofeliciano Se posicione pastores, nos ajude as estradas bloqueadas, enchendo as portas do exército e nem um líder se posicionando? Fale por nós",False,0.9889106750488281,"['@marcofeliciano', 'posicione', 'pastor', 'ajudar', 'estrada', 'bloquear', 'encher', 'porta', 'exército', 'líder', 'posicionar', 'fale']",@marcofeliciano posicione pastor ajudar estrada bloquear encher porta exército líder posicionar fale
57008,"@marcofeliciano O que houve é que você não tem palavra, tu não ia embora do Brasil.",False,0.9921519756317139,"['@marcofeliciano', 'haver', 'não', 'palavra', 'não', 'ir', 'brasil']",@marcofeliciano haver não palavra não ir brasil
57009,@marcofeliciano vc não ia renunciar ao cargo?,False,0.9757513999938965,"['@marcofeliciano', 'vc', 'não', 'ir', 'renunciar', 'cargo']",@marcofeliciano vc não ir renunciar cargo
57010,"@marcofeliciano Acontece que é uma empresa, e qualquer coisa que possa mudar o faturamento, para menos, é alterada. É o capitalismo",False,0.9734281897544861,"['@marcofeliciano', 'acontecer', 'empresa', 'poder', 'mudar', 'faturamento', 'alterar', 'capitalismo']",@marcofeliciano acontecer empresa poder mudar faturamento alterar capitalismo
57011,"@marcofeliciano Está havendo o começo da limpeza, agora que Deus limpe os altares das igrejas, quebre os ídolos, e converta os corações!!!;",False,0.9964568018913269,"['@marcofeliciano', 'haver', 'começo', 'limpeza', 'deus', 'limpar', 'altar', 'igreja', 'quebre', 'ídolo', 'converta', 'coração']",@marcofeliciano haver começo limpeza deus limpar altar igreja quebre ídolo converta coração
57012,"@marcofeliciano O $$$$ da Secretaria de Comunicação do Governo Bolsonaro já parou de mandar dinheiro pra falarem bem dele

🤣🤣🤣🤣🤣🤣
Chora mais

Chega de mi mi mi

Vai fazer chapinha",False,0.9036246538162231,"['@marcofeliciano', '$', '$', '$', '$', 'secretaria', 'comunicação', 'governo', 'bolsonaro', 'parar', 'mandar', 'dinheiro', 'pra', 'falar', 'de ele', '', 'chora', '', 'chegar', 'mi', 'mi', 'mi', '', 'chapinha']",@marcofeliciano $ $ $ $ secretaria comunicação governo bolsonaro parar mandar dinheiro pra falar de ele  chora  chegar mi mi mi  chapinha
57013,@marcofeliciano Claramente houve uma ameaça velada. E o dono da empresa teve que cortar os dedos para salvar o braço,False,0.9851223230361938,"['@marcofeliciano', 'claramente', 'haver', 'ameaça', 'velar', 'dono', 'empresa', 'cortar', 'dedo', 'salvar', 'braço']",@marcofeliciano claramente haver ameaça velar dono empresa cortar dedo salvar braço
57014,"@marcofeliciano Capitalismo, crise financeira, globo fez isso com centenas lembram",False,0.982543408870697,"['@marcofeliciano', 'capitalismo', 'crise', 'financeiro', 'globo', 'centena', 'lembrar']",@marcofeliciano capitalismo crise financeiro globo centena lembrar
57015,@marcofeliciano https://t.co/EV3vZZeip7,False,0.9889898300170898,['@marcofeliciano'],@marcofeliciano
57016,@marcofeliciano https://t.co/Ty1hcOKSyn,False,0.9890852570533752,['@marcofeliciano'],@marcofeliciano
57017,@marcofeliciano https://t.co/KpjbApJDcI,False,0.9912577867507935,['@marcofeliciano'],@marcofeliciano
57018,@marcofeliciano Vc disse q ia renunciar.  Chegou a hora de cobrar. https://t.co/TzjTmTZ7Wl,False,0.9907330274581909,"['@marcofeliciano', 'vc', 'dizer', 'q', 'ir', 'renunciar', '', 'chegar', 'hora', 'cobrar']",@marcofeliciano vc dizer q ir renunciar  chegar hora cobrar
57019,"@marcofeliciano Acabou a mamata!
A graninha da Secom do Fábio Faria secou. O governo Bolsonaro acabou! E esses caras não trabalham de graça e nem por que acreditam na causa. São comprados... Venderam o apoio.",False,0.9752658605575562,"['@marcofeliciano', 'acabar', 'mamata', '', 'graninha', 'secom', 'fábio', 'faria', 'secar', 'governo', 'bolsonaro', 'acabar', 'cara', 'não', 'trabalhar', 'graça', 'acreditar', 'causa', 'comprar', 'venderam']",@marcofeliciano acabar mamata  graninha secom fábio faria secar governo bolsonaro acabar cara não trabalhar graça acreditar causa comprar venderam
57020,"@marcofeliciano Parece que o ""Mamãe Falei"" avisou kkk https://t.co/iojRlCaVN4",False,0.9969775676727295,"['@marcofeliciano', 'mamãe', 'falei', 'avisar', 'kkk']",@marcofeliciano mamãe falei avisar kkk
57021,@marcofeliciano https://t.co/NlLZYr0kiL,False,0.9881943464279175,['@marcofeliciano'],@marcofeliciano
57022,"@marcofeliciano Acabou dim dim ! Acabou a mamata, a emissora não quer perder sua concessão kkkkkkk",False,0.9664883017539978,"['@marcofeliciano', 'acabar', 'dim', 'dim', 'acabar', 'mamatar', 'emissora', 'não', 'perder', 'concessão', 'kkkkkkk']",@marcofeliciano acabar dim dim acabar mamatar emissora não perder concessão kkkkkkk
57023,"@marcofeliciano Conhece uma coisa chamada ""mercado""... lei da oferta e da procura? Pois é, ninguém quer mais ouvir mentiras, chega! Viveremos um período de verdade e não mais de negacionismo...",False,0.9911460280418396,"['@marcofeliciano', 'conhecer', 'chamar', 'mercado', 'lei', 'oferta', 'procura', 'ninguém', 'ouvir', 'mentira', 'chegar', 'viveremos', 'período', 'verdade', 'não', 'negacionismo']",@marcofeliciano conhecer chamar mercado lei oferta procura ninguém ouvir mentira chegar viveremos período verdade não negacionismo
57024,"@marcofeliciano Lula ganhou! renuncia ao cargo, quero ver se vc tem palavra",False,0.9940138459205627,"['@marcofeliciano', 'lula', 'ganhar', 'renunciar', 'cargo', 'vc', 'palavra']",@marcofeliciano lula ganhar renunciar cargo vc palavra
57025,@marcofeliciano a mamata acabou,False,0.8485097885131836,"['@marcofeliciano', 'mamata', 'acabar']",@marcofeliciano mamata acabar
57026,@marcofeliciano https://t.co/o6T3GEO16P,False,0.9906750321388245,['@marcofeliciano'],@marcofeliciano
57027,@marcofeliciano Liberdade do patrão negociar com o empregado,False,0.990110456943512,"['@marcofeliciano', 'liberdade', 'patrão', 'negociar', 'empregado']",@marcofeliciano liberdade patrão negociar empregado
57028,"@marcofeliciano Acabou o milho, acabou a pipoca acabou a festa. A JP está literalmente fadada ao fracasso. Com as demissões de Augusto Nunes, Ricardo Fiúza e Caio Poppolla. Os Pingos nos Is programa de maior audiência de sua grade acaba de sofrer um revés sem precedentes. Que direção de amadores https://t.co/yhEY3FVIMe",True,0.5065853595733643,"['@marcofeliciano', 'acabar', 'milho', 'acabar', 'pipoca', 'acabar', 'festa', 'jp', 'literalmente', 'fadar', 'fracasso', 'demissão', 'augusto', 'nunes', 'ricardo', 'fiúza', 'caio', 'poppolla', 'pingo', 'is', 'programa', 'audiência', 'grade', 'acabar', 'sofrer', 'revés', 'precedente', 'direção', 'amador']",@marcofeliciano acabar milho acabar pipoca acabar festa jp literalmente fadar fracasso demissão augusto nunes ricardo fiúza caio poppolla pingo is programa audiência grade acabar sofrer revés precedente direção amador
57029,@marcofeliciano E vc vai junto com o Malafaia orar pelo Lula ?,False,0.9971141815185547,"['@marcofeliciano', 'vc', 'junto', 'malafaia', 'orar', 'lula']",@marcofeliciano vc junto malafaia orar lula
57030,@marcofeliciano De que a JP perdeu a boquinha e não precisa mais dos advogados do Presidente.,False,0.8309114575386047,"['@marcofeliciano', 'jp', 'perder', 'boquinha', 'não', 'precisar', 'advogado', 'presidente']",@marcofeliciano jp perder boquinha não precisar advogado presidente
57031,@marcofeliciano Ainda Pergunta🤔Acabou a Mamata😂😂😂😂 https://t.co/PgRGptd8Hm,False,0.9831224083900452,"['@marcofeliciano', 'perguntaacabou', 'mamata']",@marcofeliciano perguntaacabou mamata
